id,label,generation
1,Jay,Boomer
2,Gloria,Gen X
3,Claire,Gen X
4,Phil,Gen X
5,Mitchell,Gen X
6,Cameron,Gen X
7,Haley,Millennial
8,Alex,Gen Z
9,Luke,Gen Z
10,Manny,Gen Z
11,Lily,Gen Z
